,Naam,Aanbevolen door,Aantal stemmen,Procentueel,District,Verkiezingdatum,Type,Omvang electoraat,Opkomst,Aantal stembriefjes,Aantal stemmen geldig,Aantal stemmen blanco,Aantal zetels,Kiesdrempel,counts,won,min_stem_win,min_pct_win,margin,close_cand_5pct,close_cand_10pct,close_cand_20pct,Naam_win,Aanbevolen door_win,Aantal stemmen_win,Procentueel_win,alrdy_in_pols
1592,U.G. Schilthuis Jzn.,VD,1546.0,0.2822,Hoogezand,16/06/1905,algemeen,6396,-,5534,5478.0,56,1.0,2739.0,3,0,2320.0,0.4235,-0.14129999999999998,0,0,1,K. ter Laan,SDAP,2320.0,0.4235,nee
1597,J. Knoppers,CHP(Ka/AR),2495.0,0.40700000000000003,Meppel,16/06/1905,algemeen,6932,-,6196,6130.0,66,1.0,3065.0,2,0,3515.0,0.5734,-0.1664,0,0,1,mr. H. Smeenge,Lib,3515.0,0.5734,nee
1600,R.P.J. Tutein Nolthenius,NH(Ka/AR/CHP),2835.0,0.4172,Zutphen,01/08/1905,tussentijds,8175,-,6839,6795.0,44,1.0,3398.0,2,0,3035.0,0.44670000000000004,-0.029500000000000026,1,1,1,F. Lieftinck,Lib,3035.0,0.44670000000000004,nee
1601,R.P.J. Tutein Nolthenius,NH(Ka/AR),2963.0,0.4357,Zutphen,08/08/1905,herstemming,8175,-,6868,6801.0,67,1.0,3401.0,2,0,3838.0,0.5643,-0.12860000000000005,0,0,1,F. Lieftinck,Lib(SDAP),3838.0,0.5643,nee
1605,J.P. van Term,Ka(AR/CHP),1372.0,0.3713,Rotterdam V,07/09/1905,tussentijds,5431,-,3725,3695.0,30,1.0,1848.0,2,0,1829.0,0.495,-0.12369999999999998,0,0,1,P.R. Mees,VD,1829.0,0.495,nee
1607,H. Paul,,1976.0,0.3814,Leiden,26/10/1906,tussentijds,5967,-,5262,5181.0,81,1.0,2591.0,2,0,2757.0,0.5321,-0.1507,0,0,1,dr. J.T. de Visser,,2757.0,0.5321,nee
1609,dr. A. van Raalte,,1473.0,0.2304,Franeker,02/10/1907,tussentijds,7514,-,6436,6393.0,43,1.0,3197.0,3,0,2594.0,0.4058,-0.1754,0,0,1,J. van der Molen Tz.,,2594.0,0.4058,nee
1610,H.J. Versteeg,,1820.0,0.2963,Schiedam,09/10/1907,tussentijds,8083,-,6216,6142.0,74,1.0,3071.0,2,0,2914.0,0.4744,-0.17809999999999998,0,0,1,jhr.mr. D.J. de Geer,,2914.0,0.4744,nee
1611,jhr.mr. H. Smissaert,,2414.0,0.379,Sliedrecht,13/03/1908,tussentijds,8443,-,6438,6369.0,69,1.0,3185.0,2,0,3643.0,0.5720000000000001,-0.19300000000000006,0,0,1,J. van der Molen Tz.,,3643.0,0.5720000000000001,nee
1617,J. Kok,SDAP,2017.0,0.25370000000000004,Lochem,11/06/1909,algemeen,9406,-,8064,7951.0,113,1.0,3976.0,3,0,3189.0,0.4011,-0.14739999999999998,0,0,1,mr. A. baron van Heeckeren van Kell,AR(Ka/CHU),3189.0,0.4011,nee
1644,F.C.J. Netscher,VD,2245.0,0.2532,Alkmaar,11/06/1909,algemeen,10270,-,8988,8867.0,121,1.0,4434.0,3,0,3562.0,0.4017,-0.14850000000000002,0,0,1,N. Glinderman,AR(Ka/CHU),3562.0,0.4017,nee
1646,J.N. Hendrix,Ka(AR/CHU),1400.0,0.39149999999999996,Amsterdam I,11/06/1909,algemeen,5180,-,3675,3576.0,99,1.0,1788.0,2,0,1862.0,0.5207,-0.1292000000000001,0,0,1,dr. H.F.R. Hubrecht,Lib(VL),1862.0,0.5207,nee
1652,J.G. van Kuykhof,SDAP,2145.0,0.2359,Amsterdam V,11/06/1909,algemeen,12892,-,9243,9091.0,152,1.0,4546.0,3,0,3294.0,0.36229999999999996,-0.12639999999999996,0,0,1,T.M. Ketelaar,VD,3294.0,0.36229999999999996,nee
1661,mr. J.H. Thiel,VD(VL/Lib/SDAP),4283.0,0.4968,Haarlem,23/06/1909,herstemming,9807,-,8673,8622.0,51,1.0,4311.0,2,0,4339.0,0.5032,-0.006399999999999961,1,1,1,jhr.mr. F.K. van Lennep,CHU(Ka/AR),4339.0,0.5032,nee
1664,C.D. Wesseling,Ka(AR/CHU),2043.0,0.2963,Hoorn,11/06/1909,algemeen,8145,-,6957,6894.0,63,1.0,3447.0,2,0,2847.0,0.413,-0.11669999999999997,0,0,1,P.B.J. Ferf,Lib(VL),2847.0,0.413,nee
1665,H.J.C. van Tienen,Lib(VL),2571.0,0.3089,Zaandam,11/06/1909,algemeen,10269,-,8413,8323.0,90,1.0,4162.0,2,0,3456.0,0.4152,-0.1063,0,0,1,J.E.W. Duijs,SDAP,3456.0,0.4152,nee
1667,H.J.C. van Tienen,Lib(VL/VD/Ka/CHU),4013.0,0.4911,Zaandam,23/06/1909,herstemming,10269,-,8244,8171.0,73,1.0,4086.0,2,0,4158.0,0.5089,-0.017800000000000038,1,1,1,J.E.W. Duijs,SDAP,4158.0,0.5089,nee
1669,mr. P. Dieleman,AR(Ka/CHU),3274.0,0.45630000000000004,Oostburg,11/06/1909,algemeen,8488,-,7261,7175.0,86,1.0,3588.0,2,0,3612.0,0.5034000000000001,-0.04710000000000003,1,1,1,G.A. Vorsterman van Oyen,VD,3612.0,0.5034000000000001,nee
1685,H.W. Teesselink,Lib(VL),3109.0,0.4288,Ommen,11/06/1909,algemeen,9026,-,7375,7250.0,125,1.0,3625.0,2,0,4141.0,0.5711999999999999,-0.14239999999999992,0,0,1,dr. A. Kuyper,AR(CHU),4141.0,0.5711999999999999,nee
1686,mr. J. van Gilse,Lib(VL),2949.0,0.4353,Steenwijk,11/06/1909,algemeen,7550,-,6876,6775.0,101,1.0,3388.0,2,0,3826.0,0.5647,-0.12939999999999996,0,0,1,L.F. Duymaer van Twist,AR(Ka/CHU),3826.0,0.5647,nee
1688,H. Groenewout,VD,1543.0,0.2184,Appingedam,11/06/1909,algemeen,8531,-,7114,7064.0,50,1.0,3532.0,3,0,2816.0,0.3986,-0.1802,0,0,1,A. Zijlstra,AR(Ka/CHU),2816.0,0.3986,nee
1698,B. Berends,CHU(Ka/AR),2323.0,0.402,Meppel,11/06/1909,algemeen,7343,-,5877,5779.0,98,1.0,2890.0,2,0,3221.0,0.5574,-0.15539999999999998,0,0,1,mr. H. Smeenge,Lib(VL),3221.0,0.5574,nee
1699,P.M.F.H. Brouwers,Ka,2787.0,0.3992,Gulpen,11/06/1909,algemeen,8561,-,7125,6982.0,143,1.0,3491.0,2,0,4098.0,0.5869,-0.18769999999999998,0,0,1,jhr.mr. C.J.M. Ruijs de Beerenbrouck,Ka,4098.0,0.5869,nee
1703,I.A. Swane,,2265.0,0.4131,Helmond,12/07/1910,tussentijds,6939,-,5548,5483.0,65,1.0,2742.0,2,0,3218.0,0.5869,-0.17379999999999995,0,0,1,A.N. Fleskens,,3218.0,0.5869,nee
1714,J. Esmeijer,VD,3155.0,0.3715,Apeldoorn,17/06/1913,algemeen,10830,-,8811,8493.0,318,1.0,4247.0,2,0,4172.0,0.49119999999999997,-0.11969999999999997,0,0,1,mr. W.K.F.P. graaf van Bylandt,CHU(Ka/AR),4172.0,0.49119999999999997,nee
1715,J. Esmeijer,VD(VL/Lib/SDAP),5007.0,0.49560000000000004,Apeldoorn,25/06/1913,herstemming,10830,-,10157,10102.0,55,1.0,5051.0,2,0,5095.0,0.5044,-0.008799999999999919,1,1,1,mr. W.K.F.P. graaf van Bylandt,CHU(Ka/AR),5095.0,0.5044,nee
