Naam,District,Verkiezingdatum,InTKEK,Gevonden,Sterfdatum,Gebdatum,Sterfplaats,Vermogen,Link1,Link2,Polpartij,Opm
mr. W.G. baron van Brantsen van de Zijp,Sneek,01/09/1887,,,,,,,,,,
K. Kater,Sneek,01/09/1887,,,,,,,,,,
jhr.mr. D. de Blocq van Haersma de With,Dokkum,17/05/1853,,,,,,,,,,
jhr. J.A. Lycklama Ã Nijeholt,Dokkum,25/01/1859,,,,,,,,,,
O. baron van Wassenaer van Catwijck,Dokkum,15/09/1863,,,,,,,,,,
mr. P.A.S. van Limburg Brouwer,Dokkum,15/09/1863,,,,,,,,,,
O. baron van Wassenaer van Catwijck,Dokkum,29/09/1863,,,,,,,,,,
O. baron van Wassenaer van Catwijck,Dokkum,15/10/1863,,,,,,,,,,
O. baron van Wassenaer van Catwijck,Dokkum,21/02/1865,,,,,,,,,,
O. baron van Wassenaer van Catwijck,Dokkum,07/03/1865,,,,,,,,,,
M.W. baron van Tour van Bellinchave,Dokkum,22/01/1868,,,,,,,,,,
mr. L.W.C. Keuchenius,Dokkum,10/06/1873,,,,,,,,,,
W. Reilingh,Dokkum,10/06/1873,,,,,,,,,,
mr. L.W.C. Keuchenius,Dokkum,24/06/1873,,,,,,,,,,
mr. L.W.C. Keuchenius,Dokkum,03/11/1874,,,,,,,,,,
mr. B.J. Gratama,Dokkum,08/06/1875,,,,,,,,,,
mr. A.J. Thomassen Ã Thuessink van der Hoop,Dokkum,17/09/1878,,,,,,,,,,
mr. A.J. Thomassen Ã Thuessink van der Hoop,Dokkum,10/06/1879,,,,,,,,,,
dr. A. Kuyper,Dokkum,26/08/1879,,,,,,,,,,
mr. B.J. Gratama,Dokkum,14/06/1881,,,,,,,,,,
mr. U.H. Huber,Dokkum,12/06/1883,,,,,,,,,,
W.M. Oppedijk,Dokkum,13/05/1884,,,,,,,,,,
J.C. Fabius,Dokkum,28/10/1884,,,,,,,,,,
J. de Jong,Dokkum,28/10/1884,,,,,,,,,,
mr. U.H. Huber,Dokkum,15/06/1886,,,,,,,,,,
mr. L.W.C. Keuchenius,Dokkum,15/06/1886,,,,,,,,,,
J.A. de Fremery,Steenwijk,20/02/1851,,,,,,,,,,
mr. N. van Heloma,Steenwijk,05/03/1851,,,,,,,,,,
mr. J. van Lennep,Steenwijk,10/06/1856,,,,,,,,,,
mr. L.W.C. Keuchenius,Steenwijk,08/06/1875,,,,,,,,,,
mr. P.J.G. van Diggelen,Steenwijk,10/06/1879,,,,,,,,,,
mr. P.J.G. van Diggelen,Steenwijk,24/06/1879,,,,,,,,,,
mr. P.J.G. van Diggelen,Steenwijk,11/04/1882,,,,,,,,,,
mr. A.J. Dijckmeester,Steenwijk,12/06/1883,,,,,,,,,,
mr. A.J. Dijckmeester,Steenwijk,28/10/1884,,,,,,,,,,
G.H. Thomassen Ã Thuessink van der Hoop,Steenwijk,15/06/1886,,,,,,,,,,
G.H. Thomassen Ã Thuessink van der Hoop,Steenwijk,01/09/1887,,,,,,,,,,
B.P.G. van Diggelen,Zwolle,27/08/1850,,,,,,,,,,
mr. G. Groen van Prinsterer,Zwolle,27/08/1850,,,,,,,,,,
B.P.G. van Diggelen,Zwolle,08/06/1852,,,,,,,,,,
mr. J.C. Bijsterbos,Zwolle,08/06/1852,,,,,,,,,,
B.P.G. van Diggelen,Zwolle,22/06/1852,,,,,,,,,,
mr. B.W.A.E. baron van Sloet tot Oldhuis,Zwolle,17/05/1853,,,,,,,,,,
mr. J.R. Thorbecke,Zwolle,17/05/1853,,,,,,,,,,
mr. W.L.F.C. ridder van Rappard,Zwolle,31/05/1853,,,,,,,,,,
mr. G. Groen van Prinsterer,Zwolle,13/06/1854,,,,,,,,,,
T.J. Stieltjes,Zwolle,12/06/1860,,,,,,,,,,
T.J. Stieltjes,Zwolle,26/06/1860,,,,,,,,,,
mr. A. van Naamen van Eemnes,Zwolle,09/04/1861,,,,,,,,,,
mr. G.A. de Meester,Zwolle,09/04/1861,,,,,,,,,,
mr. A. van Naamen van Eemnes,Zwolle,23/04/1861,,,,,,,,,,
mr. G. Groen van Prinsterer,Zwolle,10/06/1862,,,,,,,,,,
mr. G. Groen van Prinsterer,Zwolle,24/06/1862,,,,,,,,,,
mr. G.A. IJssel de Schepper,Zwolle,22/03/1864,,,,,,,,,,
O. baron van Wassenaer van Catwijck,Zwolle,22/03/1864,,,,,,,,,,
mr. J.W.J. baron van Vos van Steenwijk,Zwolle,22/03/1864,,,,,,,,,,
mr. H.J.A. Raedt van Oldenbarnevelt,Zwolle,05/04/1864,,,,,,,,,,
T.J. Stieltjes,Zwolle,26/06/1866,,,,,,,,,,
mr. A. van Naamen van Eemnes,Zwolle,30/10/1866,,,,,,,,,,
