Naam,District,Verkiezingdatum,InTKEK,Gevonden,Sterfdatum,Gebdatum,Sterfplaats,Vermogen,Link1,Link2,Polpartij,Opm
C. Schiffer,Gorinchem,31/05/1853,,,,,,,,,,
W.C.M. Begram,Gorinchem,25/01/1859,,,,,,,,,,
mr. A.J. Korteweg,Gorinchem,25/01/1859,,,,,,,,,,
C. Schiffer,Gorinchem,25/01/1859,,,,,,,,,,
jhr. B. van Merlen,Gorinchem,25/01/1859,,,,,,,,,,
mr. G. Groen van Prinsterer,Gorinchem,08/02/1859,,,,,,,,,,
jhr.mr. P.J. Elout van Soeterwoude,Gorinchem,12/06/1860,,,,,,,,,,
C. Schiffer,Gorinchem,12/06/1860,,,,,,,,,,
mr. A.J. Korteweg,Gorinchem,26/06/1860,,,,,,,,,,
W.A. Viruly Verbrugge,Gorinchem,16/09/1862,,,,,,,,,,
mr. J.D. van der Poel,Gorinchem,16/09/1862,,,,,,,,,,
C. Schiffer,Gorinchem,16/09/1862,,,,,,,,,,
W.A. Viruly Verbrugge,Gorinchem,30/09/1862,,,,,,,,,,
W.A. Viruly Verbrugge,Gorinchem,10/11/1862,,,,,,,,,,
C. Schiffer,Gorinchem,10/11/1862,,,,,,,,,,
W.A. Viruly Verbrugge,Gorinchem,24/11/1862,,,,,,,,,,
jhr.mr. J.W. van Loon,Gorinchem,14/06/1864,,,,,,,,,,
jhr.mr. J.W. van Loon,Gorinchem,28/06/1864,,,,,,,,,,
mr. P.P. van Bosse,Gorinchem,30/10/1866,,,,,,,,,,
jhr.mr. J.W. van Loon,Gorinchem,15/12/1868,,,,,,,,,,
W.J. Knoop,Gorinchem,15/12/1868,,,,,,,,,,
jhr.mr. J.W. van Loon,Gorinchem,29/12/1868,,,,,,,,,,
mr.dr. J.J. Teding van Berkhout,Gorinchem,10/06/1873,,,,,,,,,,
mr. H.J. Dijckmeester,Gorinchem,10/06/1873,,,,,,,,,,
mr. J. Heemskerk Azn.,Gorinchem,24/06/1873,,,,,,,,,,
jhr. G.J.G. Klerck,Gorinchem,10/06/1879,,,,,,,,,,
J.A.A. Waldorp,Gorinchem,23/09/1880,,,,,,,,,,
mr. D. van Eck,Middelburg,17/05/1853,,,,,,,,,,
jhr.mr. P.J. Elout van Soeterwoude,Middelburg,17/05/1853,,,,,,,,,,
mr. C.W.E. Vaillant,Middelburg,31/05/1853,,,,,,,,,,
mr. S. baron van Heemstra,Middelburg,10/06/1862,,,,,,,,,,
jhr.mr. J.G.H. van Tets van Goudriaan,Middelburg,10/06/1862,,,,,,,,,,
mr. W.P. Vis,Middelburg,24/06/1862,,,,,,,,,,
jhr.mr. H.J. van der Heim,Middelburg,22/01/1868,,,,,,,,,,
jhr. J.L. de Jonge,Middelburg,22/01/1868,,,,,,,,,,
jhr. J.L. de Jonge,Middelburg,10/06/1873,,,,,,,,,,
mr. J.P.R. Tak van Poortvliet,Middelburg,08/06/1875,,,,,,,,,,
J. Wolbers,Middelburg,12/06/1877,,,,,,,,,,
H.J. Bool,Middelburg,10/06/1879,,,,,,,,,,
J.C. Fabius,Middelburg,14/06/1881,,,,,,,,,,
mr. P.C. 't Hooft,Middelburg,29/11/1881,,,,,,,,,,
H.J. Bool,Middelburg,03/01/1882,,,,,,,,,,
mr. W.J. Snouck Hurgronje,Middelburg,12/06/1883,,,,,,,,,,
mr. D. van Eck,Middelburg,28/10/1884,,,,,,,,,,
A. Smit,Middelburg,28/10/1884,,,,,,,,,,
mr. D. van Eck,Middelburg,11/11/1884,,,,,,,,,,
mr. L.W.C. Keuchenius,Middelburg,15/06/1886,,,,,,,,,,
jhr.mr. M.A. de Savornin Lohman,Middelburg,15/06/1886,,,,,,,,,,
mr. J.J. van Deinse,Goes,27/08/1850,,,,,,,,,,
mr. G.A. Fokker,Goes,27/08/1850,,,,,,,,,,
mr. J.J. van Deinse,Goes,11/09/1850,,,,,,,,,,
B.P.G. van Diggelen,Goes,10/06/1856,,,,,,,,,,
mr. J.H. de Laat de Kanter,Goes,14/06/1864,,,,,,,,,,
mr. C.J. PickÃ©,Goes,14/06/1864,,,,,,,,,,
O. Verhagen,Goes,14/06/1864,,,,,,,,,,
mr. P.H. Saaymans Vader,Goes,28/06/1864,,,,,,,,,,
mr. P.H. Saaymans Vader,Goes,30/10/1866,,,,,,,,,,
mr. J.H. de Laat de Kanter,Goes,13/11/1866,,,,,,,,,,
mr. C.J. PickÃ©,Goes,22/01/1868,,,,,,,,,,
mr. M.J. de Witt Hamer,Goes,08/06/1875,,,,,,,,,,
dr. P.J.F. Vermeulen,Goes,26/02/1878,,,,,,,,,,
mr. C.T. graaf van Lynden van Sandenburg,Goes,26/02/1878,,,,,,,,,,
dr. P.J.F. Vermeulen,Goes,12/03/1878,,,,,,,,,,
mr. W.A. van Hoek,Goes,10/06/1879,,,,,,,,,,
mr. W.A. van Hoek,Goes,24/06/1879,,,,,,,,,,
mr. L.A. Bijbau,Goes,15/06/1886,,,,,,,,,,
A. baron van Schimmelpenninck van der Oye,Goes,15/06/1886,,,,,,,,,,
W.H.B. Wilkens,Goes,15/06/1886,,,,,,,,,,
jhr.mr. J.L.C. Pompe van Meerdervoort,Goes,29/06/1886,,,,,,,,,,
mr. L.A. Bijbau,Goes,29/06/1886,,,,,,,,,,
mr. S.H. Anemaet,Zierikzee,17/05/1853,,,,,,,,,,
mr. Ã. baron van Mackay,Zierikzee,17/05/1853,,,,,,,,,,
mr. S.H. Anemaet,Zierikzee,31/05/1853,,,,,,,,,,
jhr.mr. J.F. Schuurbeque Boeye,Zierikzee,13/06/1854,,,,,,,,,,
jhr.mr. J.F. Schuurbeque Boeye,Zierikzee,12/02/1863,,,,,,,,,,
C. Goekoop,Zierikzee,12/02/1863,,,,,,,,,,
W.F. del Campo,Zierikzee,12/02/1863,,,,,,,,,,
jhr.mr. J.F. Schuurbeque Boeye,Zierikzee,26/02/1863,,,,,,,,,,
N.R.H. GuljÃ©,Breda,28/06/1859,,,,,,,,,,
W.J. Knoop,Breda,28/06/1859,,,,,,,,,,
N.R.H. GuljÃ©,Breda,12/07/1859,,,,,,,,,,
N.R.H. GuljÃ©,Breda,12/06/1860,,,,,,,,,,
mr. P.J.J. HollingÃ©rus Pijpers,Breda,25/02/1862,,,,,,,,,,
mr. D. Mulder,Breda,25/02/1862,,,,,,,,,,
mr. J.H. van Mierlo,Breda,25/02/1862,,,,,,,,,,
mr. P.J.J. HollingÃ©rus Pijpers,Breda,11/03/1862,,,,,,,,,,
F.H.H. Borret,Breda,22/01/1868,,,,,,,,,,
mr. P.E.A. Janssens,Breda,22/01/1868,,,,,,,,,,
F.H.H. Borret,Breda,04/02/1868,,,,,,,,,,
mr. R. van der Werk,Zevenbergen,12/03/1878,,,,,,,,,,
mr. R. van der Werk,Zevenbergen,23/04/1878,,,,,,,,,,
dr. T.C.L. Wijnmalen,Zevenbergen,23/04/1878,,ja,,,,,,,,
J.H.A. Diepen,Zevenbergen,07/05/1878,,,,,,,,,,
mr. L. van Rijckevorsel,Zevenbergen,14/06/1881,,,,,,,,,,
C.N. Tieleman,Zevenbergen,14/06/1881,,,,,,,,,,
mr. L. van Rijckevorsel,Zevenbergen,28/06/1881,,,,,,,,,,
mr. A.P.R.C. baron van Borch van Verwolde,Zevenbergen,24/06/1884,,,,,,,,,,
mr. R. van der Werk,Zevenbergen,08/07/1884,,,,,,,,,,
mr. A.P.R.C. baron van Borch van Verwolde,Zevenbergen,28/10/1884,,,,,,,,,,
mr. R. van der Werk,Zevenbergen,28/10/1884,,,,,,,,,,
mr. C.J.A. Heydenrijck,Zevenbergen,11/11/1884,,,,,,,,,,
mr. C.C.A. Beens,Tilburg,03/02/1852,,,,,,,,,,
mr. C.C.A. Beens,Tilburg,08/06/1852,,,,,,,,,,
mr. E.J.H. Borret,Tilburg,17/05/1853,,,,,,,,,,
mr. E.J.H. Borret,Tilburg,31/05/1853,,,,,,,,,,
mr. E.J.H. Borret,Tilburg,12/06/1860,,,,,,,,,,
mr. H.A. van Mens,Tilburg,19/01/1864,,,,,,,,,,
mr. D. Mulder,Tilburg,03/02/1864,,,,,,,,,,
mr. F.J. Jespers,Tilburg,30/10/1866,,,,,,,,,,
J.H.A. Diepen,Tilburg,23/11/1880,,,,,,,,,,
J.F. van der Heyde,Tilburg,23/11/1880,,,,,,,,,,
J.H.A. Diepen,Tilburg,07/12/1880,,,,,,,,,,
mr. P. van den Heuvel,Eindhoven,17/05/1853,,,,,,,,,,
mr. M. van den Acker,Eindhoven,17/05/1853,,,,,,,,,,
J.F. van der Heyde,Eindhoven,31/05/1853,,,,,,,,,,
mr. P. van den Heuvel,Eindhoven,05/01/1864,,,,,,,,,,
mr. P.J.A. Smitz,Eindhoven,19/01/1864,,,,,,,,,,
mr. P. van den Heuvel,Eindhoven,22/01/1868,,,,,,,,,,
mr. J.B. Bots,Eindhoven,10/06/1873,,,,,,,,,,
mr. P.J.A. Smitz,Eindhoven,12/06/1877,,,,,,,,,,
J.H.A. Diepen,Eindhoven,10/06/1879,,,,,,,,,,
jhr. L.L.G.M. de Villers de PitÃ©,Maastricht,27/08/1850,,,,,,,,,,
A. Roberti,Maastricht,27/08/1850,,,,,,,,,,
mr. H.J. Brouwers,Maastricht,30/10/1866,,,,,,,,,,
mr. H.J. Brouwers,Maastricht,22/01/1868,,,,,,,,,,
mr. L.H. Wenmaekers,Maastricht,22/01/1868,,,,,,,,,,
A.L.E. Roberti,Maastricht,03/02/1880,,,,,,,,,,
mr. J.L.M. Leclercq,Roermond,27/08/1850,,,,,,,,,,
mr. J.L.M. Leclercq,Roermond,11/09/1850,,,,,,,,,,
J.J.A. van Wylick,Roermond,17/05/1853,,,,,,,,,,
mr. K.L.J. Cornelis,Roermond,12/06/1860,,,,,,,,,,
mr. K.L.J. Cornelis,Roermond,26/06/1860,,,,,,,,,,
mr. J.B.J. Hengst,Roermond,09/04/1861,,,,,,,,,,
mr. F.H.K.E. baron van Keverberg de Kessel,Roermond,10/06/1862,,,,,,,,,,
mr. F.H.K.E. baron van Keverberg de Kessel,Roermond,24/06/1862,,,,,,,,,,
mr. K.L.J. Cornelis,Roermond,01/03/1864,,,,,,,,,,
mr. F.H.K.E. baron van Keverberg de Kessel,Roermond,14/06/1864,,,,,,,,,,
mr. J.H.L. Haffmans,Roermond,12/06/1866,,,,,,,,,,
mr. K.L.J. Cornelis,Roermond,30/10/1866,,,,,,,,,,
J.H. Arnoldts,Roermond,22/01/1868,,,,,,,,,,
mr. P.L. de Lom de Berg,Roermond,22/01/1868,,,,,,,,,,
J.H. Arnoldts,Roermond,04/02/1868,,,,,,,,,,
W.H. Pijls,Roermond,08/06/1869,,,,,,,,,,
J.H. Arnoldts,Roermond,22/06/1869,,,,,,,,,,
mr. K.L.J. Cornelis,Roermond,11/04/1871,,,,,,,,,,
jhr.mr. J.M.B.J. van der Does de Willebois,Boxmeer,22/01/1868,,,,,,,,,,
dr. J.H.H. de Poorter,Den Bosch,27/08/1850,,,,,,,,,,
mr. J.B.H. van de Mortel,Den Bosch,27/08/1850,,,,,,,,,,
mr. J.R. Thorbecke,Den Bosch,27/08/1850,,,,,,,,,,
mr. F.G.J. baron van Rijckevorsel van Kessel,Den Bosch,11/09/1850,,,,,,,,,,
mr. J.R. Thorbecke,Den Bosch,17/05/1853,,,,,,,,,,
mr. E.J.H. Borret,Den Bosch,17/05/1853,,,,,,,,,,
dr. J.H.H. de Poorter,Den Bosch,30/10/1866,,,,,,,,,,
A. Brummelkamp jr.,Groningen,06/03/1888,,,,,,,,,,
dr. H.J.A.M. Schaepman,Groningen,06/03/1888,,,,,,,,,,
A. Brummelkamp jr.,Groningen,09/06/1891,,,,,,,,,,
dr. H.J.A.M. Schaepman,Groningen,09/06/1891,,,,,,,,,,
mr. E.J.J.B. Cremers,Zuidhorn,06/03/1888,,,,,,,,,,
S. van Velzen jr.,Zuidhorn,20/03/1888,,,,,,,,,,
A. Brummelkamp jr.,Zuidhorn,12/02/1891,,,,,,,,,,
M. Noordtzij,Zuidhorn,09/06/1891,,,,,,,,,,
jhr.mr. W.H. de Savornin Lohman,Appingedam,06/03/1888,,,,,,,,,,
jhr.mr. W.H. de Savornin Lohman,Appingedam,09/06/1891,,,,,,,,,,
mr. D. de Ruiter Zijlker,Winschoten,06/03/1888,,,,,,,,,,
P. Dijkhuis,Winschoten,06/03/1888,,,,,,,,,,
D.R. Mansholt,Winschoten,20/03/1888,,,,,,,,,,
B.L. Tijdens,Winschoten,09/06/1891,,,,,,,,,,
mr. D. de Ruiter Zijlker,Winschoten,23/06/1891,,,,,,,,,,
A. Brummelkamp jr.,Veendam,09/06/1891,,,,,,,,,,
mr. E.A. Smidt,Veendam,07/11/1893,,,,,,,,,,
mr. P.J.G. van Diggelen,Veendam,07/11/1893,,,,,,,,,,
mr. M.W.F. Treub,Veendam,21/11/1893,,,,,,,,,,
mr. M.W.F. Treub,Assen,10/04/1894,,,,,,,,,,
C.V. Gerritsen,Leeuwarden,24/01/1893,,,,,,,,,,
J. Troelstra,Leeuwarden,07/02/1893,,,,,,,,,,
A. Buma,Harlingen,06/03/1888,,,,,,,,,,
mr. H. Goeman Borgesius,Harlingen,09/06/1891,,,,,,,,,,
A. Bouman,Harlingen,04/04/1893,,,,,,,,,,
A. Bouman,Harlingen,18/04/1893,,,,,,,,,,
mr. Th. Heemskerk,Harlingen,10/04/1894,,,,,,,,,,
mr. U.H. Huber,Harlingen,10/04/1894,,,,,,,,,,
mr. Th. Heemskerk,Harlingen,24/04/1894,,,,,,,,,,
mr. H. Goeman Borgesius,Sneek,10/04/1894,,,,,,,,,,
mr. W.G. baron van Brantsen van de Zijp,Sneek,10/04/1894,,,,,,,,,,
H. Pollema,Sneek,24/04/1894,,,,,,,,,,
mr. Th. Heemskerk,Sneek,11/05/1894,,,,,,,,,,
mr. U.H. Huber,Sneek,11/05/1894,,,,,,,,,,
mr. J.A. van Gilse,Sneek,25/05/1894,,,,,,,,,,
F. Domela Nieuwenhuis,Schoterland,06/03/1888,,,,,,,,,,
L.W. de Vries,Schoterland,06/03/1888,,,,,,,,,,
B.H. Heldt,Schoterland,20/03/1888,,,,,,,,,,
mr. M.W.F. Treub,Schoterland,09/06/1891,,,,,,,,,,
mr. U.H. Huber,Schoterland,09/06/1891,,,,,,,,,,
F. Domela Nieuwenhuis,Schoterland,23/06/1891,,,,,,,,,,
P. van Vliet,Schoterland,09/07/1891,,,,,,,,,,
P. van Vliet,Schoterland,21/07/1891,,,,,,,,,,
mr. W.J. baron van Welderen Rengers,Dokkum,06/03/1888,,,,,,,,,,
mr. A. Kerdijk,Dokkum,09/06/1891,,,,,,,,,,
P. van Vliet,Dokkum,10/04/1894,,,,,,,,,,
P. van Vliet,Dokkum,24/04/1894,,,,,,,,,,
dr. E.B. Kielstra,Bergum,06/03/1888,,,,,,,,,,
dr. E.B. Kielstra,Bergum,18/09/1888,,,,,,,,,,
mr. H.P. de Kanter,Bergum,09/06/1891,,,,,,,,,,
L.W. de Vries,Bergum,23/06/1891,,,,,,,,,,
dr. A. Kuyper,Bergum,10/04/1894,,,,,,,,,,
mr. P.J.G. van Diggelen,Wolvega,06/03/1888,,,,,,,,,,
dr. V. Bruinsma,Wolvega,06/03/1888,,,,,,,,,,
mr. P.J.G. van Diggelen,Wolvega,20/03/1888,,,,,,,,,,
A. Brummelkamp jr.,Wolvega,09/06/1891,,,,,,,,,,
G.L. van der Zwaag,Wolvega,09/06/1891,,,,,,,,,,
A. Brummelkamp jr.,Wolvega,23/06/1891,,,,,,,,,,
mr. W.H. de Beaufort,Steenwijk,06/03/1888,,,,,,,,,,
mr. W.H. de Beaufort,Steenwijk,10/04/1888,,,,,,,,,,
J. Meesters 2,Steenwijk,09/06/1891,,,,,,,,,,
J. Meesters 2,Steenwijk,10/04/1894,,,,,,,,,,
A. Wiersinga,Steenwijk,10/04/1894,,,,,,,,,,
jhr.mr. G.J.T. Beelaerts van Blokland,Steenwijk,24/04/1894,,,,,,,,,,
M. Noordtzij,Meppel,06/03/1888,,,,,,,,,,
B. Berends,Meppel,09/06/1891,,,,,,,,,,
mr. W.H. de Beaufort,Zwolle,06/03/1888,,,,,,,,,,
mr. J.W.J. baron van Vos van Steenwijk,Zwolle,09/06/1891,,,,,,,,,,
mr. T. Ruijs,Kampen,06/03/1888,,,,,,,,,,
jhr. E. van Weede van Dijkveld,Kampen,10/05/1892,,,,,,,,,,
L.W. de Vries,Franeker,06/03/1888,,,,,,,,,,
L.W. de Vries,Franeker,20/03/1888,,,,,,,,,,
P. van Vliet,Franeker,09/06/1891,,,,,,,,,,
P. van Vliet,Franeker,23/06/1891,,,,,,,,,,
jhr. G.J. van der Wijck,Ommen,06/03/1888,,,,,,,,,,
J. van Alphen,Ommen,09/06/1891,,,,,,,,,,
mr. J.H.A.M. Essink,Ommen,09/06/1891,,,,,,,,,,
jhr. E. van Weede van Dijkveld,Ommen,23/06/1891,,,,,,,,,,
J. Willink,Ommen,10/04/1894,,,,,,,,,,
W.H. Dikkers,Almelo,09/06/1891,,,,,,,,,,
W.H. Dikkers,Almelo,23/07/1891,,,,,,,,,,
J. van Alphen,Enschede,06/03/1888,,,,,,,,,,
mr. J.H.A.M. Essink,Enschede,09/06/1891,,,,,,,,,,
mr. J.H.A.M. Essink,Enschede,23/06/1891,,,,,,,,,,
mr. R.E. Hattink,Enschede,10/04/1894,,,,,,,,,,
mr. W.H. de Beaufort,Enschede,10/04/1894,,,,,,,,,,
mr. R.E. Hattink,Enschede,24/04/1894,,,,,,,,,,
jhr.mr. J.G. ridder van Rappard,Lochem,06/03/1888,,,,,,,,,,
jhr.mr. J.G. ridder van Rappard,Lochem,30/10/1888,,,,,,,,,,
jhr. C.M. Brantsen,Lochem,09/06/1891,,,,,,,,,,
J. van Alphen,Lochem,10/04/1894,,,,,,,,,,
dr. E.B. Kielstra,Lochem,10/04/1894,,,,,,,,,,
J. van Alphen,Lochem,24/04/1894,,,,,,,,,,
jhr.mr. S.M.S. de Ranitz,Zutphen,06/03/1888,,,,,,,,,,
mr. D. Engelberts,Zutphen,09/06/1891,,,,,,,,,,
mr. J.G. Gleichman,Zutphen,10/04/1894,,,,,,,,,,
mr. J.G.S. Bevers,Doetinchem,06/03/1888,,,,,,,,,,
mr. W.G. baron van Brantsen van de Zijp,Doetinchem,06/03/1888,,,,,,,,,,
mr. J.P.R. Tak van Poortvliet,Doetinchem,20/03/1888,,,,,,,,,,
mr. J.G.S. Bevers,Doetinchem,09/06/1891,,,,,,,,,,
mr. W.G. baron van Brantsen van de Zijp,Doetinchem,09/06/1891,,,,,,,,,,
mr. H.F. Hesselink van Suchtelen,Doetinchem,23/06/1891,,,,,,,,,,
mr. R. baron van Melvil van Lynden,Arnhem,06/03/1888,,,,,,,,,,
mr. J.F. Bijleveld,Arnhem,10/04/1894,,,,,,,,,,
mr. G.W. baron van Dedem,Elst,06/03/1888,,,,,,,,,,
jhr.mr. J.G. ridder van Rappard,Elst,06/03/1888,,,,,,,,,,
mr. B.M. Bahlmann,Elst,20/03/1888,,,,,,,,,,
M. de Ras,Elst,09/06/1891,,,,,,,,,,
A.D. Sipman,Elst,09/06/1891,,,,,,,,,,
M. de Ras,Elst,23/06/1891,,,,,,,,,,
E.D. de Meester,Elst,10/04/1894,,,,,,,,,,
E.D. de Meester,Elst,12/06/1894,,,,,,,,,,
E.D. de Meester,Elst,26/06/1894,,,,,,,,,,
jhr.mr. G.J.T. Beelaerts van Blokland,Tiel,06/03/1888,,,,,,,,,,
mr. W. baron van Goltstein,Wijk bij Duurstede,06/03/1888,,,,,,,,,,
jhr.mr. K.A. Godin de Beaufort,Wijk bij Duurstede,06/03/1888,,,,,,,,,,
mr. W. baron van Goltstein,Wijk bij Duurstede,20/03/1888,,,,,,,,,,
jhr.mr. W.H. de Beaufort,Wijk bij Duurstede,09/06/1891,,,,,,,,,,
dr. H.J.A.M. Schaepman,Wijk bij Duurstede,23/06/1891,,,,,,,,,,
S.M. van Wijck,Wijk bij Duurstede,10/04/1894,,,,,,,,,,
S.M. van Wijck,Wijk bij Duurstede,24/04/1894,,,,,,,,,,
jhr. A.W. van Borssele,Ede,09/06/1891,,,,,,,,,,
jhr. A.W. van Borssele,Ede,10/04/1894,,,,,,,,,,
mr. W.H.J. Rooijaards,Amersfoort,09/06/1891,,,,,,,,,,
M. de Ras,Amersfoort,09/06/1891,,,,,,,,,,
mr. W.H.J. Rooijaards,Amersfoort,23/06/1891,,,,,,,,,,
mr. H.P. de Kanter,Apeldoorn,09/06/1891,,,,,,,,,,
jhr.mr. G.W. Mollerus,Apeldoorn,10/04/1894,,,,,,,,,,
jhr.mr. G.W. Mollerus,Apeldoorn,24/04/1894,,,,,,,,,,
A.L.W. Seijffardt,Utrecht,06/03/1888,,,,,,,,,,
J.E.N. baron van Schimmelpenninck van der Oye,Utrecht,06/03/1888,,,,,,,,,,
mr. Ã. baron van Mackay 2,Utrecht,06/03/1888,,,,,,,,,,
H.A. van Beuningen,Utrecht,09/06/1891,,,,,,,,,,
mr. W.K.F.P. graaf van Bylandt,Utrecht,09/06/1891,,,,,,,,,,
jhr.mr. H.M.J. van Asch van Wijck,Utrecht,09/06/1891,,,,,,,,,,
mr. W.H. de Beaufort,Utrecht,10/04/1894,,,,,,,,,,
mr. W.J. Royaards van den Ham,Breukelen,06/03/1888,,,,,,,,,,
C.M.E. van LÃ¶ben Sels,Breukelen,06/03/1888,,,,,,,,,,
S.M. van Wijck,Breukelen,20/03/1888,,,,,,,,,,
S.M. van Wijck,Breukelen,09/06/1891,,,,,,,,,,
mr. W.G. baron van Brantsen van de Zijp,Breukelen,09/06/1891,,,,,,,,,,
S.M. van Wijck,Breukelen,23/06/1891,,,,,,,,,,
dr. H.J.A.M. Schaepman,Breukelen,10/04/1894,,,,,,,,,,
dr. H.J.A.M. Schaepman,Breukelen,24/04/1894,,,,,,,,,,
dr. H.J.A.M. Schaepman,Hilversum,10/04/1894,,,,,,,,,,
dr. H.J.A.M. Schaepman,Hilversum,24/04/1894,,,,,,,,,,
mr. A.P.R.C. baron van Borch van Verwolde,Hilversum,26/01/1897,,,,,,,,,,
A.N.J. Fabius,Hilversum,26/01/1897,,,,,,,,,,
mr. A.P.R.C. baron van Borch van Verwolde,Hilversum,10/02/1897,,,,,,,,,,
mr. M.W.F. Treub,Hoorn,10/09/1891,,,,,,,,,,
mr. A.F. Vos de Wael,Hoorn,10/09/1891,,,,,,,,,,
mr. M.W.F. Treub,Hoorn,24/09/1891,,,,,,,,,,
W. Bos,Enkhuizen,06/03/1888,,ja,,,,,,,,
W. Bos,Enkhuizen,28/10/1890,,ja,,,,,,,,
mr. Th. Heemskerk,Enkhuizen,09/06/1891,,,,,,,,,,
mr. W. van der Kaay,Alkmaar,06/03/1888,,,,,,,,,,
mr. I.A. Levy,Alkmaar,06/03/1888,,,,,,,,,,
jhr. C. Hartsen,Alkmaar,20/03/1888,,,,,,,,,,
A. Goede,Alkmaar,09/06/1891,,,,,,,,,,
A. Goede,Alkmaar,23/06/1891,,,,,,,,,,
mr. M.W.F. Treub,Alkmaar,10/04/1894,,,,,,,,,,
mr. M.W.F. Treub,Alkmaar,24/04/1894,,,,,,,,,,
mr. W. van der Kaay,Alkmaar,20/04/1897,,,,,,,,,,
H.W. van Marle,Den Helder,06/03/1888,,,,,,,,,,
D.C. Loman,Den Helder,06/03/1888,,,,,,,,,,
J.J. Kraakman,Den Helder,30/10/1894,,,,,,,,,,
H. van Calcar,Den Helder,30/10/1894,,,,,,,,,,
J.C. Jansen,Den Helder,30/10/1894,,,,,,,,,,
J.J. Stooker,Den Helder,30/10/1894,,,,,,,,,,
J.J. Kraakman,Den Helder,13/11/1894,,,,,,,,,,
mr. W.H. de Beaufort,Amsterdam,06/03/1888,,,,,,,,,,
mr. B.J.L. baron van Geer van Jutphaas,Amsterdam,06/03/1888,,,,,,,,,,
mr. Th. Heemskerk,Amsterdam,06/03/1888,,,,,,,,,,
H. Waller,Amsterdam,06/03/1888,,,,,,,,,,
E.J.J. Kuinders,Amsterdam,06/03/1888,,,,,,,,,,
jhr.mr. A.F. de Savornin Lohman,Amsterdam,06/03/1888,,,,,,,,,,
mr. L.M. Povel,Amsterdam,06/03/1888,,,,,,,,,,
mr. J.F. Farensbach,Amsterdam,06/03/1888,,,,,,,,,,
dr. J.A.J. van Nederhasselt,Amsterdam,06/03/1888,,,,,,,,,,
P.J. Raaymakers,Amsterdam,06/03/1888,,,,,,,,,,
C.V. Gerritsen,Amsterdam,06/03/1888,,,,,,,,,,
dr. V. Bruinsma,Amsterdam,06/03/1888,,,,,,,,,,
mr. W.H. de Beaufort,Amsterdam,10/04/1894,,,,,,,,,,
mr. I.A. Levy,Amsterdam,10/04/1894,,,,,,,,,,
mr. M.J. Pijnappel,Amsterdam,10/04/1894,,,,,,,,,,
mr. W. van der Kaay,Amsterdam,10/04/1894,,,,,,,,,,
mr. H. Goeman Borgesius,Amsterdam,10/04/1894,,,,,,,,,,
mr. W. Heineken,Amsterdam,10/04/1894,,,,,,,,,,
P. Nolting,Amsterdam,10/04/1894,,,,,,,,,,
mr. G. van Tienhoven,Amsterdam,10/04/1894,,,,,,,,,,
E.J.J. Kuinders,Amsterdam,10/04/1894,,,,,,,,,,
W.K.M. Vrolik,Amsterdam,24/04/1894,,,,,,,,,,
mr. I.A. Levy,Amsterdam,24/04/1894,,,,,,,,,,
mr. M.W.F. Treub,Amsterdam,24/04/1894,,,,,,,,,,
mr. A.J.W. Farncombe Sanders,Haarlem,10/04/1894,,,,,,,,,,
jhr.mr. A.P.C. van Karnebeek,Haarlem,16/05/1894,,,,,,,,,,
jhr.mr. J.W.G. Boreel van Hogelanden,Beverwijk,06/03/1888,,,,,,,,,,
mr. J.A.N. Travaglino,Beverwijk,20/03/1888,,,,,,,,,,
W. Bos,Beverwijk,09/06/1891,,ja,,,,,,,,
K. de Boer,Beverwijk,09/06/1891,,,,,,,,,,
J.J.H. Kervel,Beverwijk,09/06/1891,,,,,,,,,,
W. Bos,Beverwijk,23/06/1891,,ja,,,,,,,,
mr. T.L.M.H. Borret,Beverwijk,20/06/1893,,,,,,,,,,
jhr. C. Hartsen,Beverwijk,20/06/1893,,,,,,,,,,
K. de Boer,Beverwijk,20/06/1893,,,,,,,,,,
H. Waller,Beverwijk,20/06/1893,,,,,,,,,,
dr. J. van Loenen Martinet,Beverwijk,04/07/1893,,,,,,,,,,
dr. J. van Loenen Martinet,Beverwijk,10/04/1894,,,,,,,,,,
dr. J. van Loenen Martinet,Beverwijk,24/04/1894,,,,,,,,,,
W. de Meyier,Zaandam,10/04/1894,,,,,,,,,,
H.F. Bultman,Haarlemmermeer,06/03/1888,,,,,,,,,,
mr. A.P.R.C. baron van Borch van Verwolde,Haarlemmermeer,06/03/1888,,,,,,,,,,
H.F. Bultman,Haarlemmermeer,20/03/1888,,,,,,,,,,
jhr. J.B. van Merlen,Haarlemmermeer,09/06/1891,,,,,,,,,,
dr. T.C.L. Wijnmalen,Haarlemmermeer,09/06/1891,,ja,,,,,,,,
jhr. J.B. van Merlen,Haarlemmermeer,23/06/1891,,,,,,,,,,
mr. F.J.M.A. Reekers,Haarlemmermeer,24/04/1894,,,,,,,,,,
mr. O.J.E. baron van Wassenaer van Catwijck,Leiden,06/03/1888,,,,,,,,,,
mr. O.J.E. baron van Wassenaer van Catwijck,Leiden,09/06/1891,,,,,,,,,,
mr. J. Maschek,Katwijk,06/03/1888,,,,,,,,,,
jhr.mr. H.A.C. de la Bassecour Caan,Katwijk,06/03/1888,,,,,,,,,,
mr. J. Maschek,Katwijk,20/03/1888,,,,,,,,,,
A. op de Laak,Katwijk,09/06/1891,,,,,,,,,,
A. op de Laak,Katwijk,23/06/1891,,,,,,,,,,
