,Naam_x,District,Verkiezingdatum,Vermogen,Naam_y,matched b1-nummer,indexnummer,nw0,Vermogen1,nw01
177,E.J.J. Kuinders,Amsterdam,10/04/1894,0.0,A.F.K. Hartogh,00525,00525,299479.575,-inf,12.609801497217129
178,E.J.J. Kuinders,Amsterdam,10/04/1894,0.0,A. Kerdijk,00682,,,-inf,
179,E.J.J. Kuinders,Amsterdam,10/04/1894,0.0,J.P.R. Tak van Poortvliet,01339,01339,1515387.13,-inf,14.231181495636166
180,E.J.J. Kuinders,Amsterdam,10/04/1894,0.0,J.T. Cremer,00279,,,-inf,
181,E.J.J. Kuinders,Amsterdam,10/04/1894,0.0,W.K.M. Vrolik,01491,01491,75097.99,-inf,11.226549073079807
182,E.J.J. Kuinders,Amsterdam,10/04/1894,0.0,M.W.F. Treub,01375,01375,70949.45,-inf,11.169722930620157
183,E.J.J. Kuinders,Amsterdam,10/04/1894,0.0,J.G. Gleichman,00462,00462,663355.45,-inf,13.405066249185285
184,E.J.J. Kuinders,Amsterdam,10/04/1894,0.0,J.W.H. Rutgers van Rozenburg,01148,01148,932582.27,-inf,13.745712651809566
185,jhr. J.B. van Merlen,Haarlemmermeer,09/06/1891,20718.66,F.J.M.A. Reekers,01091,01091,234556.0,9.938790022467435,12.365449644329013
186,jhr. J.B. van Merlen,Haarlemmermeer,23/06/1891,20718.66,F.J.M.A. Reekers,01091,01091,234556.0,9.938790022467435,12.365449644329013
187,mr. J. Fortuijn Droogleever,Gouda,15/05/1888,42472.22,O.J.E. van Wassenaer van Catwijck,01510,01510,865244.75,10.65660549413331,13.670767693868665
188,S.A. Maas,Schiedam,10/04/1894,516592.11,O.J.H. graaf van Limburg Stirum,00825,00825,659357.58,13.155008886588801,13.399021276340235
189,S.A. Maas,Schiedam,24/04/1894,516592.11,O.J.H. graaf van Limburg Stirum,00825,00825,659357.58,13.155008886588801,13.399021276340235
190,P.C. Evers,Den Haag,06/03/1888,533694.54,R.J. graaf van Schimmelpenninck,01202,01202,52516.85,13.18757893180315,10.86888934946647
191,P.C. Evers,Den Haag,06/03/1888,533694.54,L.J.S. van Kempen,00680,00680,787279.31,13.18757893180315,13.576338369137162
192,P.C. Evers,Den Haag,06/03/1888,533694.54,L.G. Greeve,00483,00483,-3976.6,13.18757893180315,
193,C.A. Steger,Den Haag,09/06/1891,76141.68,J.F.W. Conrad,00264,00264,46901.34,11.240351094310878,10.755801525454787
194,C.A. Steger,Den Haag,09/06/1891,76141.68,J.M. Pijnacker Hordijk,01067,01067,1673508.0,11.240351094310878,14.330432580022451
195,C.A. Steger,Den Haag,09/06/1891,76141.68,H.D. Guyot,00498,00498,157637.66,11.240351094310878,11.96805438725053
196,mr. A.J.W. van Roijen,Den Haag,11/05/1894,79719.55,J.G.S. Bevers,00108,00108,-4366.5,11.28627012955415,
197,J.J. van Tienhoven van den Boogaard,Gorinchem,06/03/1888,455960.26,H. Seret,01238,01238,4436.6,13.03016093557601,8.397643596312134
198,W.F. Tak,Gorinchem,09/06/1891,15660.35,H. Seret,01238,01238,4436.6,9.658887319231182,8.397643596312134
199,J.A. van Haaften,Sliedrecht,24/04/1894,219524.43,A. Kuyper,00766,00766,196020.0,12.299218803709621,12.18597197382317
200,E.F.H.J. de Beaumont,Maastricht,15/05/1888,,J.H.J. Schreinemacher,01228,01228,-1765.0,,
201,A.D. de Marez Oyens,Amsterdam II,15/06/1897,2874672.52,H.F. Groen van Waarder,00486,00486,712206.54,14.87144931963884,13.47612323259747
202,H.C. van der Houven van Oordt,Apeldoorn,15/06/1897,10000.0,W.K.F.P. graaf van Bylandt,00245,,,9.210340371976184,
203,H.A. Pauwen,Doetinchem,15/06/1897,266114.47,H.F. Hesselink van Suchtelen,00568,,,12.491681833540712,
204,H.A. Pauwen,Doetinchem,25/06/1897,266114.47,H.F. Hesselink van Suchtelen,00568,,,12.491681833540712,
205,Z. Middelkoop,Franeker,15/06/1897,146850.29,F. Lieftinck,00815,00815,140421.18,11.897168911429038,11.852401613897277
206,L. Modoo,Haarlem,11/05/1900,1134.47,T.A.J. van Asch van Wijck,01573,01573,584226.8,7.033920860503143,13.278044542584011
207,A. Wiersinga,Hoogezand,15/06/1897,7620.5,J.D. Veegens,01391,01391,46534.3,8.938597263325905,10.747944954065499
208,A. Wiersinga,Winschoten,15/06/1897,7620.5,D. Bos,00175,00175,40350.64,8.938597263325905,10.605362534786682
209,J. Deen,Amsterdam V,14/06/1901,221271.58,T.M. Ketelaar,00689,00689,-608.38,12.307146094836943,
210,J. Deen,Amsterdam V,27/06/1901,221271.58,T.M. Ketelaar,00689,00689,-608.38,12.307146094836943,
211,C.S. Jaring,Den Helder,14/06/1901,2062.01,A.P. Staalman,01293,,,7.63143651422567,
212,mr. F.O. van der Dussen,Kampen,14/06/1901,510914.83,Æ. van Mackay 2,00861,,,13.143958182104498,
213,mr. G.A.P.M. van der Aa,Amsterdam V,16/06/1905,7828.18,T.M. Ketelaar,00689,00689,-608.38,8.965485322630752,
214,J.G. van Kuykhof,Amsterdam IX,16/06/1905,1067.52,C.T. van Deventer,00303,00303,690315.01,6.973093480290273,13.444903308624367
215,J.G. van Kuykhof,Amsterdam V,11/06/1909,1067.52,T.M. Ketelaar,00689,00689,-608.38,6.973093480290273,
